Date,Price,BE Load,BE Wind,CH Price,DE Wind,Av. Hourly Temp
2018-01-01 00:00:00,4.74,8781.25,2253,31.08,31876.25,7.9
2018-01-01 01:00:00,3.66,8531.5,2247,29.17,34320.0,8.0
2018-01-01 02:00:00,1.26,8336.5,2220,21.96,35528.5,7.5
2018-01-01 03:00:00,-20.1,8246.5,2174,14.96,36443.0,6.4
2018-01-01 04:00:00,-31.82,8223.25,2123,-5.92,37090.0,6.0
2018-01-01 05:00:00,-28.66,8083.0,2086,-6.1,37635.25,6.0
2018-01-01 06:00:00,-13.71,7952.5,2052,-10.02,37854.25,6.2
2018-01-01 07:00:00,-19.33,7951.5,2019,-5.71,37842.0,5.3
2018-01-01 08:00:00,-15.78,8109.25,1999,-1.88,37700.0,5.5
2018-01-01 09:00:00,-12.05,8395.25,1962,-10.48,37551.0,5.8
2018-01-01 10:00:00,-0.42,8715.0,1886,-6.79,37268.75,6.6
2018-01-01 11:00:00,2.3,8772.25,1727,8.57,36342.25,6.9
2018-01-01 12:00:00,2.3,8621.75,1481,8.53,34355.75,7.2
2018-01-01 13:00:00,13.76,8568.75,1239,8.52,30887.5,6.7
2018-01-01 14:00:00,15.43,8673.0,1042,8.6,26778.25,6.2
2018-01-01 15:00:00,25.46,9148.75,887,16.98,23508.0,5.0
2018-01-01 16:00:00,32.7,9408.25,945,37.43,21681.75,4.7
2018-01-01 17:00:00,32.7,9328.25,1214,41.19,20543.0,4.9
2018-01-01 18:00:00,23.42,9104.0,1412,44.61,19390.25,5.0
2018-01-01 19:00:00,20.34,8999.0,1549,40.67,17990.75,4.9
2018-01-01 20:00:00,21.95,9262.0,1697,39.42,16785.0,4.7
2018-01-01 21:00:00,23.52,9493.5,1785,36.06,16091.5,4.9
2018-01-01 22:00:00,16.35,10977.5,1797,32.98,16122.0,5.3
2018-01-01 23:00:00,13.02,9266.0,1745,36.39,15016.25,5.6
2018-01-02 00:00:00,8.45,8153.0,1789,36.54,14854.75,5.8
2018-01-02 01:00:00,5.09,7842.5,1823,30.97,14839.75,6.4
2018-01-02 02:00:00,1.64,7725.25,1828,19.98,14843.0,5.9
2018-01-02 03:00:00,1.41,7847.5,1781,21.6,14865.25,5.6
2018-01-02 04:00:00,8.36,8326.5,1667,38.4,15121.0,5.8
2018-01-02 05:00:00,22.58,9297.25,1496,41.04,15522.0,5.8
2018-01-02 06:00:00,41.92,10008.75,1285,44.92,15713.5,5.6
2018-01-02 07:00:00,47.95,10656.25,1063,49.05,15564.75,5.6
2018-01-02 08:00:00,49.9,11420.0,903,51.26,15311.25,5.7
2018-01-02 09:00:00,50.0,11708.25,845,51.22,15373.75,5.5
2018-01-02 10:00:00,49.7,11636.25,835,49.04,16152.5,6.0
2018-01-02 11:00:00,48.16,11494.5,839,48.1,17041.75,5.8
2018-01-02 12:00:00,47.24,11384.0,889,47.02,17320.25,6.1
2018-01-02 13:00:00,46.1,11352.25,1035,46.06,16885.75,6.1
2018-01-02 14:00:00,43.86,11334.5,1264,50.29,16245.25,6.3
2018-01-02 15:00:00,43.64,11893.75,1500,52.57,16110.5,6.6
2018-01-02 16:00:00,47.37,12125.75,1720,58.37,16873.75,5.7
2018-01-02 17:00:00,46.08,11776.75,1895,57.79,17907.5,5.4
2018-01-02 18:00:00,41.08,11200.5,1975,57.36,19001.25,5.8
2018-01-02 19:00:00,34.94,10675.0,1978,53.24,20235.25,7.0
2018-01-02 20:00:00,25.46,10647.5,1969,50.94,21515.25,7.4
2018-01-02 21:00:00,24.71,10759.0,1979,47.1,22896.5,8.2
2018-01-02 22:00:00,19.89,10353.25,2025,42.92,24481.25,8.7
2018-01-02 23:00:00,15.13,9558.0,2122,34.3,27396.0,9.6
2018-01-03 00:00:00,9.25,8957.25,2181,29.04,29079.5,10.1
2018-01-03 01:00:00,8.55,8713.25,2211,25.54,30772.0,10.2
2018-01-03 02:00:00,5.64,8744.5,2203,23.43,32525.25,11.2
2018-01-03 03:00:00,4.11,9075.75,2150,30.76,34088.0,11.8
2018-01-03 04:00:00,7.37,9785.75,2100,36.42,35329.0,10.4
2018-01-03 05:00:00,14.89,10549.75,2058,45.55,36516.0,10.2
2018-01-03 06:00:00,25.73,11344.0,2017,55.03,36822.75,9.7
2018-01-03 07:00:00,29.59,11709.5,2013,58.75,36656.25,8.6
2018-01-03 08:00:00,29.21,11968.5,2019,58.25,37343.25,7.6
2018-01-03 09:00:00,30.0,12139.25,2004,57.94,37944.25,7.9
2018-01-03 10:00:00,30.0,12020.75,1982,56.81,38117.75,8.1
2018-01-03 11:00:00,26.39,11856.25,1973,53.27,38364.0,8.4
2018-01-03 12:00:00,30.0,11880.75,1982,52.93,38271.0,9.0
2018-01-03 13:00:00,30.0,11880.75,2012,54.47,38274.5,8.9
2018-01-03 14:00:00,32.87,11821.5,2057,56.2,38600.0,8.8
2018-01-03 15:00:00,37.5,12454.75,2085,57.5,39005.5,9.1
2018-01-03 16:00:00,34.55,12756.25,2088,58.06,39386.5,9.0
2018-01-03 17:00:00,36.67,12371.0,2092,58.06,39805.5,8.9
2018-01-03 18:00:00,26.27,11617.0,2097,58.05,40089.0,8.5
2018-01-03 19:00:00,27.32,10938.0,2109,52.94,40039.0,8.3
2018-01-03 20:00:00,21.23,10822.25,2120,48.36,39818.75,8.3
2018-01-03 21:00:00,20.22,11058.5,2105,45.51,39442.5,7.9
2018-01-03 22:00:00,20.95,10530.0,2068,41.03,38862.0,7.6
2018-01-03 23:00:00,19.0,9687.75,1995,38.27,40647.25,7.4
2018-01-04 00:00:00,9.2,9156.5,1927,31.06,39696.75,7.0
2018-01-04 01:00:00,8.66,8891.25,1822,24.94,38710.25,6.4
2018-01-04 02:00:00,7.7,8856.5,1675,23.67,37457.0,6.5
2018-01-04 03:00:00,9.8,9109.5,1493,28.08,35839.25,6.7
2018-01-04 04:00:00,14.69,9826.75,1231,39.21,33866.5,6.8
2018-01-04 05:00:00,24.24,10612.25,916,46.97,31651.25,6.8
2018-01-04 06:00:00,33.59,11362.0,649,56.38,28957.75,7.0
2018-01-04 07:00:00,40.45,11725.75,494,57.5,26110.75,7.0
2018-01-04 08:00:00,41.97,11971.0,431,57.55,23524.25,7.1
2018-01-04 09:00:00,44.91,12118.5,448,56.69,21233.75,7.2
2018-01-04 10:00:00,49.54,12002.75,631,54.92,19128.25,7.5
2018-01-04 11:00:00,46.04,11860.5,918,53.21,17160.75,8.1
2018-01-04 12:00:00,51.34,11729.5,1240,52.32,15396.0,9.9
2018-01-04 13:00:00,51.68,11677.0,1626,54.2,14113.0,11.4
2018-01-04 14:00:00,53.52,11650.5,1955,55.97,13058.0,11.6
2018-01-04 15:00:00,53.18,12233.5,2097,56.61,12835.75,11.9
2018-01-04 16:00:00,53.08,12523.75,2135,54.9,13395.5,11.5
2018-01-04 17:00:00,49.96,12182.25,2158,54.46,14341.75,10.9
2018-01-04 18:00:00,46.73,11525.0,2176,54.15,15350.0,10.4
2018-01-04 19:00:00,41.57,10965.25,2184,54.5,16707.25,9.5
2018-01-04 20:00:00,37.09,11010.25,2171,52.1,18511.0,9.0
2018-01-04 21:00:00,33.92,11193.75,2137,47.66,20325.75,8.4
2018-01-04 22:00:00,31.5,10467.5,2074,44.03,22350.0,7.7
2018-01-04 23:00:00,16.83,9750.0,1926,36.66,33784.0,7.8
